iter	Passed	Remaining
0	15	15577
1	20	10360
2	25	8557
3	31	7948
4	38	7735
5	45	7579
6	52	7424
7	58	7204
8	63	7020
9	68	6753
10	73	6586
11	79	6540
12	86	6544
13	92	6508
14	98	6493
15	106	6526
16	112	6511
17	118	6485
18	124	6432
19	130	6389
20	135	6331
21	141	6293
22	147	6254
23	152	6212
24	158	6182
25	164	6148
26	169	6121
27	175	6079
28	180	6051
29	186	6017
30	191	5978
31	197	5979
32	202	5941
33	208	5924
34	214	5902
35	219	5875
36	224	5843
37	229	5815
38	235	5791
39	240	5763
40	245	5747
41	251	5732
42	257	5727
43	263	5716
44	269	5710
45	275	5706
46	281	5711
47	287	5693
48	292	5676
49	298	5663
50	304	5660
51	309	5638
52	315	5631
53	320	5612
54	325	5596
55	331	5585
56	337	5576
57	342	5561
58	347	5540
59	352	5530
60	358	5526
61	364	5514
62	370	5503
63	376	5503
64	382	5508
65	388	5502
66	395	5511
67	401	5496
68	406	5490
69	412	5477
70	419	5483
71	424	5477
72	431	5473
73	436	5460
74	442	5453
75	448	5451
76	454	5446
77	459	5430
78	465	5421
79	470	5409
80	476	5406
81	482	5403
82	488	5397
83	494	5387
84	500	5387
85	505	5377
86	511	5366
87	516	5357
88	523	5354
89	529	5350
90	535	5353
91	542	5352
92	548	5346
93	554	5340
94	559	5331
95	565	5320
96	570	5310
97	577	5312
98	583	5307
99	589	5304
100	594	5295
101	600	5286
102	606	5282
103	612	5276
104	618	5270
105	623	5260
106	629	5257
107	635	5246
108	640	5233
109	646	5227
110	651	5220
111	657	5209
112	662	5196
113	667	5186
114	672	5177
115	678	5170
116	684	5163
117	690	5158
118	695	5151
119	701	5141
120	707	5139
121	714	5141
122	719	5131
123	725	5125
124	731	5117
125	737	5112
126	742	5104
127	748	5095
128	753	5087
129	759	5079
130	764	5073
131	770	5063
132	775	5058
133	781	5049
134	787	5043
135	792	5035
136	798	5030
137	803	5021
138	809	5012
139	814	5002
140	820	4995
141	825	4989
142	830	4978
143	836	4970
144	842	4965
145	847	4956
146	852	4947
147	858	4939
148	863	4930
149	868	4922
150	874	4914
151	879	4906
152	884	4897
153	890	4892
154	895	4884
155	901	4878
156	907	4870
157	912	4863
158	917	4854
159	923	4847
160	929	4842
161	934	4835
162	939	4826
163	945	4818
164	951	4813
165	956	4806
166	962	4799
167	967	4791
168	972	4783
169	978	4778
170	984	4772
171	990	4767
172	995	4760
173	1001	4755
174	1007	4749
175	1012	4738
176	1017	4732
177	1023	4726
178	1028	4718
179	1034	4712
180	1040	4706
181	1045	4699
182	1051	4692
183	1056	4684
184	1061	4677
185	1066	4669
186	1073	4668
187	1080	4665
188	1085	4659
189	1091	4652
190	1096	4645
191	1102	4640
192	1108	4635
193	1114	4628
194	1119	4621
195	1124	4613
196	1130	4607
197	1135	4600
198	1141	4593
199	1146	4585
200	1152	4580
201	1157	4570
202	1162	4565
203	1168	4559
204	1173	4551
205	1178	4543
206	1184	4537
207	1189	4530
208	1194	4521
209	1200	4516
210	1206	4510
211	1211	4504
212	1217	4499
213	1223	4492
214	1228	4486
215	1234	4479
216	1239	4473
217	1245	4468
218	1251	4461
219	1256	4454
220	1262	4448
221	1267	4442
222	1272	4434
223	1278	4427
224	1283	4421
